ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
771;2;1;3;1;3;6;1;2;0;1;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;2;5;3;2;5;2;2;2;2;1;2;2;1;1;2;1;3;2;10;1;1;5;0,776072141
772;1;2;6;6;6;6;1;2;12;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;5;1;5;4;6;6;6;6;6;6;6;6;96;96;0;5;96;96;96;96;996;0,493871179
773;2;1;3;1;3;6;2;3;0;1;2;6;6;6;6;2;2;2;1;2;2;2;6;6;6;1;66;5;5;5;5;5;1;2;2;2;1;2;2;1;1;2;4;7;2;12;1;2;88;0,607070914
774;2;1;3;1;3;6;1;1;0;1;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;2;1;2;2;1;2;2;1;2;1;1;2;2;1;2;2;1;4;8;4;1;4;0,876428507
775;2;1;1;1;3;6;2;1;0;5;2;6;6;6;6;2;2;2;1;2;1;2;6;6;6;2;2;5;5;5;5;5;2;2;1;2;1;1;1;2;1;2;3;1;5;3;4;1;6;0,715315522
776;1;1;3;2;6;3;2;1;5;0;6;1;1;2;2;2;2;1;1;1;2;2;6;6;6;1;66;3;1;1;1;5;6;6;6;6;6;6;6;6;8;1;0;1;2;7;1;1;6;0,98627821
777;1;1;3;2;6;3;2;3;888;0;6;6;6;6;6;1;2;2;2;2;1;2;6;6;6;1;66;1;2;4;2;2;6;6;6;6;6;6;6;6;1;2;3;9;5;11;4;1;11;0,743733208
778;1;2;6;6;6;6;1;2;5;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;5;5;3;5;5;6;6;6;6;6;6;6;6;1;2;3;4;1;7;1;2;7;0,971468331
779;2;1;2;1;3;6;1;2;0;20;1;6;1;2;2;2;2;1;2;2;2;2;6;6;6;1;66;1;2;2;4;2;2;2;2;2;1;1;2;2;96;96;1;4;4;6;96;96;996;0,39668892
780;1;1;3;2;6;3;1;2;15;0;6;1;1;2;2;2;1;2;2;2;2;2;6;6;6;6;3;5;5;2;4;5;6;6;6;6;6;6;6;6;1;2;3;4;5;12;1;2;4;0,541690636
781;2;1;2;1;3;6;1;2;0;4;1;6;1;2;2;2;2;2;2;2;1;2;6;6;6;6;2;2;3;1;4;4;2;2;2;2;1;1;1;2;1;2;3;3;5;9;1;1;5;0,264447315
782;1;2;6;6;6;6;2;3;4;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;2;5;2;2;5;6;6;6;6;6;6;6;6;2;2;3;1;3;5;2;2;5;1,292315831
783;1;1;3;2;6;3;2;2;14;0;6;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;66;1;5;1;5;2;6;6;6;6;6;6;6;6;1;2;1;8;2;13;1;1;11;1,484519847
784;1;1;3;2;6;3;2;2;1;0;6;1;2;2;1;1;2;2;2;2;2;2;6;6;6;1;66;5;5;5;5;5;6;6;6;6;6;6;6;6;1;2;2;4;1;8;3;1;5;1,390209532
785;2;1;3;1;3;6;1;1;0;10;1;6;1;2;2;2;2;2;1;2;2;2;6;6;6;6;2;2;5;1;2;1;2;2;1;2;1;1;2;2;1;1;3;4;3;4;3;2;3;0,440294653
786;2;2;6;6;3;6;2;2;0;6;2;6;6;6;6;2;2;2;2;2;2;1;1;2;1;1;66;1;2;3;5;2;2;2;2;2;1;2;2;1;1;2;4;9;2;4;1;2;5;1,793142776
787;1;1;3;2;6;3;1;2;5;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;1;5;1;5;5;6;6;6;6;6;6;6;6;1;2;0;9;1;11;1;1;3;2,148382166
788;1;1;3;2;6;3;1;2;99;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;2;2;2;3;4;6;6;6;6;6;6;6;6;2;2;0;8;1;10;2;2;4;0,381159674
789;1;1;3;2;6;2;2;1;3;0;6;1;1;2;2;2;2;2;2;1;2;2;6;6;6;1;66;5;1;5;5;5;6;6;6;6;6;6;6;6;1;2;1;3;96;10;2;1;4;2,40285508
790;1;1;3;2;6;3;1;3;4;0;6;1;2;1;2;2;2;2;2;2;2;1;1;2;2;1;66;2;2;2;3;5;6;6;6;6;6;6;6;6;1;2;0;9;2;11;2;1;7;0,705476307
791;2;1;3;1;3;6;2;2;0;10;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;4;2;3;3;2;2;2;2;2;1;2;1;2;96;96;3;5;4;3;96;96;996;1,060063569
792;2;2;6;6;3;6;1;2;0;1;1;6;1;2;2;2;2;2;2;2;2;1;1;2;2;1;66;1;5;4;5;5;1;2;2;2;1;2;2;1;1;2;3;5;4;7;1;2;11;1,017795491
793;2;1;3;1;3;6;1;2;0;2;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;2;5;2;3;5;1;2;2;2;1;1;1;2;1;2;0;5;96;96;96;96;NA;0,461499952
794;2;1;3;2;3;6;2;3;888;10;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;1;3;4;5;5;2;2;2;2;1;2;2;1;1;2;4;4;5;12;1;1;5;0,86218764
795;2;1;1;1;3;6;2;3;0;5;2;6;6;6;6;2;2;2;2;2;2;1;2;2;1;1;66;2;4;3;5;5;2;1;2;2;1;2;2;1;1;2;4;7;4;12;1;2;3;0,531013248
