ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
846;1;1;3;2;6;3;2;3;8;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;1;1;66;1;6;5;5;5;6;6;6;6;6;6;6;6;1;2;0;9;1;10;3;2;8;1,535103991
847;2;1;2;1;3;6;2;1;0;3;2;6;6;6;6;1;2;2;1;1;2;2;6;6;6;1;66;1;1;2;1;5;2;2;1;2;2;6;6;6;1;2;1;1;3;3;1;1;7;2,557361885
848;1;1;3;2;6;3;1;2;2;0;6;1;2;1;2;1;2;2;2;2;2;2;6;6;6;1;66;5;2;2;2;2;6;6;6;6;6;6;6;6;96;96;0;6;1;11;96;96;996;0,837503954
849;2;2;6;6;3;6;1;3;0;2;1;6;1;2;2;2;2;2;2;2;2;1;1;2;1;1;66;5;5;1;5;1;2;2;2;2;2;6;6;6;1;2;0;9;4;8;4;1;11;0,282190508
850;1;1;3;2;6;3;1;2;15;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;1;3;1;3;3;6;6;6;6;6;6;6;6;1;1;3;6;4;11;2;1;7;0,496981979
851;1;1;3;2;6;3;1;2;8;0;6;1;1;2;2;8;8;8;8;8;8;8;6;6;6;6;3;5;2;3;2;4;6;6;6;6;6;6;6;6;1;1;2;3;3;9;1;2;6;0,803349736
852;2;1;3;1;3;6;1;1;0;3;1;6;1;2;2;2;2;2;2;2;2;1;2;2;2;1;66;2;1;2;3;4;2;2;1;2;2;6;6;6;1;7;3;2;1;7;8;2;88;1,606863252
853;2;1;3;1;3;6;2;3;0;2;2;6;6;6;6;2;2;2;2;2;2;1;1;2;2;1;66;2;5;2;5;5;2;2;2;2;1;2;2;1;1;2;4;8;5;12;4;1;9;1,12144698
854;2;1;3;1;3;6;1;3;0;7;1;6;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;1;5;4;5;5;2;2;2;2;1;2;2;1;1;2;2;9;3;12;1;2;3;0,538837162
855;1;1;3;2;6;3;1;2;30;0;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;2;3;1;2;4;6;6;6;6;6;6;6;6;1;2;0;7;3;11;1;2;6;0,612781302
856;1;1;3;2;6;3;2;2;10;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;1;1;66;5;5;3;5;2;6;6;6;6;6;6;6;6;1;2;4;9;5;13;3;1;9;1,240120993
857;1;1;3;2;6;3;1;2;6;0;6;1;2;1;2;2;2;2;2;2;1;2;6;6;6;1;66;2;5;1;5;5;6;6;6;6;6;6;6;6;1;2;0;8;1;9;3;1;6;1,07033426
858;1;1;3;2;6;3;2;2;10;0;6;2;6;6;6;1;2;2;1;2;2;2;6;6;6;1;66;4;3;2;1;5;6;6;6;6;6;6;6;6;1;2;0;3;1;11;1;2;1;0,462293692
859;1;1;3;2;6;3;1;2;1;0;6;1;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;2;5;2;2;5;6;6;6;6;6;6;6;6;1;2;1;5;3;12;1;1;6;0,380392351
860;1;1;3;2;6;2;2;1;26;0;6;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;66;1;2;1;1;4;6;6;6;6;6;6;6;6;1;2;2;4;1;3;4;1;4;2,746647657
861;2;1;3;1;3;6;2;3;0;4;1;6;2;2;1;2;2;2;2;2;2;1;2;2;1;1;66;1;3;2;3;2;2;2;2;2;1;2;2;1;1;2;3;6;1;13;2;1;9;2,25268409
862;2;1;3;1;3;6;2;2;0;3;2;6;6;6;6;2;2;2;1;2;2;2;6;6;6;1;66;4;2;2;1;2;2;2;2;2;1;2;2;1;1;2;0;4;4;8;1;2;7;0,655940809
863;1;1;3;2;6;3;1;2;7;0;6;1;1;2;2;2;2;2;1;2;2;2;6;6;6;1;66;4;2;3;2;5;6;6;6;6;6;6;6;6;1;2;1;5;3;9;1;2;6;0,563388127
864;1;1;3;2;6;2;1;1;3;0;6;1;1;2;2;2;2;2;1;2;2;2;6;6;6;1;66;4;2;1;1;4;6;6;6;6;6;6;6;6;1;2;3;3;3;12;1;1;8;0,382210447
865;1;1;3;2;6;1;1;2;4;0;6;1;1;2;2;6;6;6;6;6;6;6;6;6;6;1;66;2;5;2;1;5;6;6;6;6;6;6;6;6;1;2;3;2;5;77;2;1;6;0,295441449
866;2;2;6;6;3;6;2;1;0;9;1;6;1;2;2;2;2;2;2;2;2;1;1;2;2;6;1;2;4;3;5;4;2;2;2;2;2;6;6;6;1;2;4;5;96;96;96;96;NA;1,30918031
867;2;1;3;1;3;6;1;2;0;1;2;6;6;6;6;2;2;2;2;2;2;1;1;2;1;1;66;2;2;2;2;1;1;2;2;2;2;6;6;6;1;1;1;9;1;9;3;1;6;0,682490151
868;2;1;3;1;3;6;2;3;0;3;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;1;5;5;3;6;2;2;2;2;1;2;2;1;1;2;4;4;1;77;1;1;6;2,835038855
869;1;2;6;6;6;6;2;3;10;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;4;5;4;4;6;6;6;6;6;6;6;6;1;2;1;1;3;6;2;2;1;0,592648552
870;2;2;6;6;3;6;2;1;0;0;6;6;6;6;6;2;2;2;2;2;2;1;1;2;2;1;66;1;5;3;5;5;2;2;2;2;2;6;6;6;1;2;4;1;3;88;1;2;4;1,387327947
871;2;1;3;1;3;6;1;2;0;1;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;4;5;1;5;5;1;2;2;2;1;1;2;2;1;2;0;2;5;12;2;1;9;0,583836786
872;2;2;6;6;3;6;1;2;0;2;1;6;1;2;2;2;2;2;2;2;2;1;1;2;2;1;66;1;5;3;5;5;2;2;2;2;1;2;2;1;1;2;2;8;2;9;2;1;7;0,589473725
873;1;1;3;2;6;3;2;3;10;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;1;1;66;1;3;2;1;3;6;6;6;6;6;6;6;6;1;2;3;8;5;13;1;2;4;0,49077412
874;1;1;3;2;6;3;1;2;4;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;1;1;66;2;5;1;2;2;6;6;6;6;6;6;6;6;1;2;0;6;4;8;1;1;9;0,563044485
875;1;2;6;6;6;6;2;1;2;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;2;2;4;5;1;6;6;6;6;6;6;6;6;1;2;0;2;1;5;1;2;11;3,769360699
876;2;1;3;1;3;6;2;1;0;1;2;6;6;6;6;1;2;2;2;2;2;2;6;6;6;1;66;1;4;4;4;5;2;2;2;2;1;2;2;1;1;2;3;1;5;7;1;1;6;0,554226307
877;1;1;3;2;6;3;1;2;2;0;6;1;1;2;2;2;2;2;1;1;1;2;6;6;6;5;3;1;5;2;5;5;6;6;6;6;6;6;6;6;1;2;0;5;5;13;2;1;7;0,949038268
878;2;2;6;6;3;6;2;2;0;10;2;6;6;6;6;2;2;2;2;2;1;2;6;6;6;1;66;2;2;2;2;1;2;2;1;2;2;6;6;6;1;1;3;5;1;7;1;2;3;0,327970405
879;1;1;3;2;6;3;2;2;12;0;6;1;1;2;1;2;2;2;2;2;2;1;2;2;1;1;66;2;3;1;4;4;6;6;6;6;6;6;6;6;96;96;4;7;5;13;96;96;996;0,496103906
880;1;1;3;2;6;3;1;2;3;0;6;1;1;2;2;2;2;2;1;1;2;2;6;6;6;1;66;5;2;2;5;5;6;6;6;6;6;6;6;6;1;2;2;4;4;10;1;2;10;0,595510784
881;2;2;6;6;3;6;2;1;0;0;6;6;6;6;6;2;2;2;2;2;2;1;1;2;2;1;66;5;2;2;5;5;2;2;2;2;1;2;2;1;1;2;2;1;3;8;4;1;4;3,284150844
882;2;2;6;6;3;6;1;3;0;7;1;6;1;2;2;2;2;2;2;2;1;2;6;6;6;1;66;1;1;2;3;3;1;2;1;2;2;6;6;6;1;1;3;7;1;3;1;1;1;1,136398
